Nama_Pengguna,Tanggal,Rating,Komentar,Balasan_Developer,Jumlah_Like
Arian Ari,2024-11-22,5,tempat belajar yang lengkap dengan fitur yang lengkap mantap,,0
Theodorus Anindito Daniswara-Dito,2024-11-22,1,"Aplikasi skem, crypto = Judi. Jangan pernah bayar kelas kripto kaya gini, lebih mending duitnya buat kuliah. Yg kasih bintang 5 buzzer demi dapet Call",,9
Ryustar,2024-11-22,1,"apaan banyak member loss profit gini caption niru dari luar, bitisi naik koar koar bitisi down masuk goa , awikwok sekali dia ini",,5
Shafira,2024-11-22,5,aplikasi yang memberikan manfaat untuk belajar tentunya sangat mudah digunakan dan memiliki desain yang menarik sekali.,,0
putri gunawan,2024-11-22,5,Bagus sih .. jadi ngajarin kita caramya seperti apa dan pas saat cryptonya yg asli kita sudah bisa mengerti .. pkoknya akademi crypto in bagus menurut aku klw buat belajar,,0
Rudy Bolang,2024-11-22,5,"Aplikasi akademi crypto ini bangus, sangat bermanfaat",,0
Dani,2024-11-22,5,"Meskipun aplikasinya ringan dan simpel tapi sangat bermanfaat untuk yg mau belajar krypto, gampang dan cepat dipelajarinya",,0
Sabrina Aulya,2024-11-22,5,desainnya menarik dan keren dengan fitur yang lengkap👍,,0
Hanna Edinnia,2024-11-22,5,"Aplikasinya bagus banget, kata katanya mudah dipahami dan menarik sekali, saya jadi cepat paham tentang crypto karna mau nyoba nyoba, dan aplikasi ini sangat berguna buat pemula seperti saya",,0
Siti Marwah,2024-11-22,5,"aplikasi nya bagus apalagi fitur nya lengkap banget bermanfaat banget poko nya buat pemula, buat belajar nya juga lengkap mantap pokonya pemula wajib download sih",,0
RAHMAT S,2024-11-22,5,"Sangat terbantu dengan edukasi crypto di sini, dari yg tadinya awam sekarang sudah siap terjun di dunia crpto",,0
Novi Djafar,2024-11-22,5,"Aplikasi Akademi Crypto luar biasa mantap sangat membantu untuk transaksi crypto, berita/info ttang perkembangan perekonomian dunia sangat akurat wajib bintang 5 sih ga nyesel instal apl ini",,0
kp suranto (anto),2024-11-22,5,bagus banget buat pemula seperti aku bisa belajar kripto apk nya juga simpel mudah dipahami buat orang awam,,0
Renz Adebaran,2024-11-22,5,"Enak banget belajar crypto disini, mudah dipahami dan bisa langsung dipraktekkan",,0
Deko N,2024-11-22,1,Aplikasi taaaai,,2
Devanueky Pratama,2024-11-22,5,Rekomendasi banget buat yg pengen belajar trading,,0
Asep Prima,2024-11-22,5,"Ini nih yg ku cari cari, aplikasi yg bisa buat belajar tentang crypto buat pemula",,0
Muhammad Dhani Krisnanda,2024-11-22,1,"Aplikasi ppk nyruh rating dibayar cuman 1,5k per hp😂",,4
Ramdan Makbulloh,2024-11-22,5,aplikasinya bagus mudah dipahami bagi pemula & sangat bermanfaat pokonya 🤩,,0
Agil Muzhaeni Fadilah,2024-11-22,5,"AC the next bloomberg, bener bener informatif sekali, terimakasih bro tim dan bro kaka sudah mengedukasi dan memberikan banyak manfaat ke anak muda jaman sekarang. thanks",,0
Febi Astuti,2024-11-22,5,"Waw aplikasi nya recommend bangett,desain apk nya bagus sangat menarik dan sangat membantu untuk belajar ,mudah di gunakan juga",,0
Zyy Yuki,2024-11-22,5,Aplikasi sagat bagus untuk saya memulai belajar tentang crypto,,0
Leonardus Yoris Dwi H,2024-11-22,5,"Mantap Ncek dan Proff, Viva Contrarian!!!",,0
pak toge,2024-11-22,1,YANG KASIH *4 *5 akun bayaran doang hahahaha mau amat dibayar 1500 minimal 10rb lah,,7
Gilang Desu,2024-11-22,1,isinya scammer,,2
REZA PANDU SADEWA,2024-11-22,1,App store,,1
Milda Utari,2024-11-22,5,"Crypto menjamin keamanan transaksi secara online, tanpa harus ada org ketiga",,0
Winda Maharani,2024-11-22,5,Aplikasi ini berguna buat belajar crypto dari awal. banyak materi yang bisa dipelajari dan bikin paham soal crypto,,0
Eva Maria,2024-11-22,5,Good,,0
wong taileng,2024-11-22,1,"Fake review dibayar 1,5k awokwowkwok",,2
Raffi Takasihaeng,2024-11-22,5,Apk sangat bagus,,0
Taufiq Budi Ramdhani,2024-11-22,1,malas,,2
Cva Stores,2024-11-22,5,"Aplikasi best banget buat pemula , materinya terstruktur dengan baik dari dasar , sangat mudah dipahami . Dan lagi ada kuis dan simulasi trading yang seru untuk dicoba",,0
Sunmoon,2024-11-22,1,Gak guna,,2
Rivan Andriana,2024-11-22,5,"Aplikasi terbaik untuk belajar crypto, fitur lengkap, sangat mudah dipahami.",,0
KURNIA OFFICIAL,2024-11-22,5,"APK Edukasi Crypto ini sangat membantu pemula untuk memahami dasar-dasar cryptocurrency dan trading. Dengan antarmuka yang sederhana dan materi pembelajaran yang terstruktur, aplikasi ini cocok untuk siapa saja yang ingin mendalami dunia crypto",,0
Nugroho,2024-11-22,5,"untuk saya yang seorang pemula, apk ini ngebantu banget buat belajar tentang crypto, setiap materi dibahas tuntas semuanya, tampilan dalam apk juga bagus 👍👍",,0
yan yan,2024-11-22,5,mantep apk ny bagus bermanfaat,,0
BOWO DS,2024-11-22,5,aplikasi nya sangat bagus dan bermanfaat fiturnya juga sangat lengkap,,0
semprot 187,2024-11-22,1,"Apk scam, Cuma orang rada rada aja yang ngasih bintang 5 wkwk",,3
GAMEER GAMING,2024-11-22,5,Cukup membantu dlm pencarian informasi terbaru mengenai coin' crypto,,0
Enceng R,2024-11-22,5,Rekomendasi banget apk nya buat belajar apalagi fitur fitur nya sangat lengkap,,0
Karina Rahayu,2024-11-22,5,Aplikasinya bagus banget buat orng2 yg mau belajar crypto! Semoga lebih banyak orng yg mau belajar crypto karna untungnya besar bgt,,0
Anggun,2024-11-22,5,Akademi Crypto adalah aplikasi yang sangat aku rekomendasiin buat pemula yang pengen memahami dunia kripto secara mendalam. Modul materi yang disajikan sangat membantu,,0
Tunggal Winarso,2024-11-22,5,Aplikasi yang sangat bagus. Untuk menghasilkan uang disaat waktu luang,,0
iqbal Saputra,2024-11-22,5,"apk akademi crypto sangat mudah di gunakan dan untuk para pemula saya sangat suka, salam sukses tim",,0
Muspik Aja,2024-11-22,1,REVIEW POSITIF BUZZER BAYARAN SEMUA COK.. YANG REAL JOIN KELAS 17JT PADA NGELUH DUIT MINUS RATUSAN JUTA GAK ADA KEJELASAN PDAHAL ENTRI SESUAI ARAHAN. TP DISANGKA DYOR 😂,,2
Wan,2024-11-22,5,bagus,,0
Arifatul Khoiriyah,2024-11-22,5,"Aplikasi nya sangat membantu, selain desain nya bagus, aplikasi ini juga mempunyai fitur yg lengkap",,0
ziz kenz,2024-11-22,1,agus sedih.. agus sudah beli kelas 17 juta tapi tetap disuruh dyor mana agus pake pinjol buat beli kelas tolong agus teman teman,,4
nusa dua,2024-11-22,5,"Aplikasi yang sangat bermanfaat, fiturnya yang lengkap da sangat mudah dipahami, aplikasi yang mudah digunakan the best",,0
Michyy Acuu,2024-11-22,1,"Pembodohan dan penipuan, jual kelas ncek ncek pIer",,3
Ibnu Fahmi,2024-11-22,5,aplikasi yang sangat bagus buat kita yang ingin belajar kenal lebih dekat dengan dunia crypto dimana lebih mudah dipahami dengan penjelasan yang padat dan singkat,,0
M Yafi Zhafran,2024-11-22,1,"Seperti kebanyakan member, pasti lebih banyak yang kecewa daripada yang senang.",,3
Min Soo,2024-11-22,1,"17jt buat aplikasi Berita, Mending Download Tempo Finance wkwkwk dongo dongo",,2
Hofifah Hofif,2024-11-22,5,Apk ini bagus banget buatedukasi belajar,,0
sugun Dirgantara,2024-11-22,5,"Buat pemula yg ingin belajar crypto dari nol coba deh aplikasi ini, fitur dan pembelajarannya mudah dipahami",,0
Bang Azka,2024-11-22,5,"Saya sangat suka dengan aplikasi ini,mudah dipahami dan ga ada yang sulit",,0
Lan,2024-11-22,5,Akademi crypto ini mantap buat pemula semua edukasi dan saran²nya lengkap akademi crypto ini bagus soalnya buat belajar tentang uang dan bermanfaat untuk masa depan pokoknya mantap deh apk ini bermanfaat banget,,0
F U Z I _,2024-11-22,5,Aplikasi ini sangat berguna untuk edukasi sangat cocok untuk pemula,,0
Renaldo Triansah,2024-11-22,1,"aplikasi lemot, berita hasil nyomot copas",,17
rafid shidqi,2024-11-22,1,gaguna,,2
Pak Vincent,2024-11-22,5,"aplikasi yg keren, belajar crypto di aplikasi ini dengan mudah. bagus pokoknya",,0
Ren XD,2024-11-22,1,harga buzzernya brp boss,,3
Butterfly 7289,2024-11-22,3,Koin yg di sarankan sllu aja di atas entri. Smg aplikasinya lebih baik lagi dan ada notif.,,0
Pradana Fiqih P,2024-11-22,1,Jeyek,,2
DapLuk 123,2024-11-22,5,"Apk nya sangat bagus,dan juga banyak fitur² yang memudahkan kita,the best pokonya,wajib di coba",,0
Rifai Achmad,2024-11-22,5,Aplikasinya bagus dan cepat gk lambat.,,0
Kida Loop,2024-11-22,5,Aplikasi bagus buat belajar Kiripto buat pemula,,0
HENDRIYAWAN,2024-11-22,1,"Hello google, please ban this app, this is scam!",,5
rahma maulani,2024-11-22,5,"saya bukan member tapi saya mau berterimakasih banyak sama ncek karna udah effort sekaliii buat ini. sedih bgt liat yang review bintang satu padahal aplikasinya bagus bangettt dan lengkap ampe gak kuat hehe makasih banyak ya ncek, padahal susah hehe.",,0
Roby Sucaksono,2024-11-22,5,Aplikasi nya sangat luar biasa dan recommended banget buat belajar crypto,,0
warga 62,2024-11-22,1,"Walah yg rate 5 dibayar to, kasian member yg bayar 17jt buat memperkaya duo cupang",,3
For Ex,2024-11-22,1,Apk tai,,2
Panji Yukiharu,2024-11-22,1,"Materi belajar crypto itu gampang di cari di internet, kalian bayar mahal"" buat materi gratisan plus sinyal pas bull run doang gak guna asli",,7
Agus Falahuddin Mahrus,2024-11-22,1,Kurang menarik,,2
Nandito Team,2024-11-22,1,"Aplikasi penipuan dll wajib di tarik dari play store, Skema Ponzi , rating B5 nya palsu bayaran smuanya",,5
Rizki Ridho Abdilah,2024-11-22,1,"public deception application, the owner only wants small money but not education.. high rating because these buzzers are paid Rp. 1.5k / review, so high rating is just a gimmick ...",,1
0xchio,2024-11-22,1,"no comment, 17jt beli kelas malah rungkad. ownernya sampe bela""in beli review B5 dengan harga 1500 rupiah per review.",,48
Zehan Baihaqi,2024-11-22,1,Tidak ada tombol pendaftaran/ bikin akun,,8
gynwt jk,2024-11-22,1,Aiwkwowkwokw tukang beli rating,,1
Ilham Subrowi,2024-11-22,1,Mantap secara fungsional dan oke,,2
Sopo Jarwo,2024-11-22,5,Aplikasi nya cocok untuk kalian yang pengen belajar tentang crypto pemula.,,0
Bagus Puspito,2024-11-22,1,"Kalo nyewa buzzer modal dikit dong, yakali /b5 cuma dikasih 1500. Buka kelas dapet banyak, bayar buzzer sulit.",,10
Kia Marsya,2024-11-22,5,"Aplikasi crypto yang sangat di rekomendasikan sekali, tampilanya keren tidak monoton, apalagi fitur""nya juga keren dan lebih mudah di paham tidak ribet, untuk menabah penghasilan sangat di rekomendasikan pake apk ini",,2
yulianto gp,2024-11-22,1,Kelas ga berguna.bayar 17jt tetap dyar dyor 🤣🤣👎👎👎👎,,2
Ida Nurhayati,2024-11-22,5,Sangat direkomendasikan buat yang mau belajar crypto materi yang diberikan cukup mudah dipahami untuk pemula seperti saya👍,,0
Raka Eka,2024-11-22,5,Aplikasinya mudah. sangat membantu untuk catatan keuangan harian bagi yg malas catat2 spt saya dan mudah kehilangan buku. tinggal klik BS save dan bisa liat pengeluaran kita berdasar persentase kategorinya.,,6
Janeva Owen,2024-11-22,5,"keren dan aplikasi nya bagus. aplikasi nya mudah di mengerti. cocok buat pemula yg mau mulai investasi seperti saya. gampang juga fitur fitur nya, ga bikin pusing. rekomen untuk para pemula untuk belajar investasi, lengkap semua.",,3
Arin Alena,2024-11-22,5,aplikasinya bagus sangat cocok untuk belajar crypto,,0
Rahmat Hamzih,2024-11-22,5,"Aplikasi rekomended untuk belajar crypto, ui nya juga simple mudah digunakan gak ribet.",,1
Russel Daniel,2024-11-22,1,Ownernya scam,,2
Asyraf Ridhwan Azhara,2024-11-22,5,aplikasi oke buat edukasi rekomen pkoknya,,0
Lex123,2024-11-22,5,Bagus sesuai rating dr org lain emg cocok untuk akademi crypto disini,,0
Muhammad Ikhwan fadila,2024-11-22,5,Aplikasi paket komplit dan luar biasa berkat akademi crypto aset saya yang awal nya minus mulai menanjak naik karena dibimbing oleh mentor yang hebat,,0
Efwandha Yudhono,2024-11-22,1,Gak bisa buat akun,,1
Hamzoh Taufik,2024-11-22,5,Ini aplikasi yang bagus untuk belajar crypto buat pemula seperti saya👍,,0
Iklima Nur Aulia,2024-11-22,5,Aplikasinya bagus ga nyesel deh pokonya best bangett,,0
SUNG JIU THIN ARVIN,2024-11-22,5,"bagus apk nya buat akademi crypto disini, ud terpercaya sih dr dlu jd download gaes",,1
ARDIKA CS,2024-11-22,1,"Manta, rez, vanry, pol,",,1
Sazuki Tosaki,2024-11-22,1,Yg bintang 5 buzer semua asliii tapi buzee scam gk mau bayarrrr teke nya t.me/freelancechi,,4
Ages Ta,2024-11-22,1,Scam duitsaya hilang di sini,,1
Dhimas Narendra,2024-11-22,1,"Aplikasi buruk, informasi banyak yang tidak akurat, sungguh aplikasi scam",,1
iwan darmawan,2024-11-22,1,"Kelas copy paste aja di jual, idih rug di manta gak mau ngasih jalan keluar malah di hina hina membernya.",,2
Naura Aurellia,2024-11-22,5,"aplikasinya baguss, fitur lengkap, banyak edukasi/infomasi tentang crypto cocok buat yang ingin belajar crypto & sangat bermanfaat , recommended 👍🏻",,0
ganjar ijo,2024-11-22,1,MANA CALL GRATIS YANG ANDA JANJIKAN NCEK MANA CALL GRATISNYA NCEKK SAYA SUNGGUH TIDAK SABAR MAU ALL IN RATA KANAN NCEK,,2
Mhnmd Arsyad,2024-11-22,1,"Apk apaan ini cok lelet banyk iklan aslinya buruk bngett, Lu mau trading masuk grup ppl aja Itu yg komen baik baik smpe bintang 5 itu Buzzer yang disewa Adminnya, Nyewa dishopee juga bisa Aowlwo",,3
Akun Kfk,2024-11-22,1,"Jangan percaya yang komen bintang 5 buzzer bayaran semua, isinya news yang di translate doang, udh gitu ga realtime lg wkwk",,7
Ian Ozora,2024-11-22,5,Aplikasi ini sangat membantu saya dalam mempelajari tentang crypto,,0
Miftahul Huda,2024-11-22,1,bitang 1 aja prof 🙏,,1
Kiki Rizki,2024-11-22,1,Ilmu kopas doang sampe jutaan harganya cuma orang yg super tolol yg mau bayar sinyal trading juga banyak yg lebih bagus yg free,,2
Izaac Ardy,2024-11-22,1,"Bayar 17jt di suruh baca koran, cepet kaya lu timot",,2
Muklaszin,2024-11-22,1,mantap aplikasinya tapi jelek,,2
Mitsumine,2024-11-22,1,wkwk jan mau dibegooin . manipulasi rating pake buzzer 😂 . review qualitas kelasnya banyak di youtube jg . bagi yg awam jangan terburu2 riset dulu . harga mahal kualitas copas ini .,,1
Pria arya77,2024-11-22,5,"Menggunakan aplikasi ini dari awal, untuk belajar akhirnya sampai bisa lancar saya menggunakan nya. Sangat bagus dan terpercaya aplikasi ini guys, menarik, lengkap juga fitur nya, sangat membantu, saya tidak ingin menggunakan apk lainnya karena sudah sangat percaya dengan apk ac ini.",,0
Arya putra Putra,2024-11-22,5,Aplikasi sangat bagus dan bermanfaat aplikasi nya mudah di gunakan fitur nya lengkap desain sangat menarik tempat belajar yang baik dan membantu,,0
Arthe Legend,2024-11-22,1,Join disini -80% porto manta manta mantab,,0
Muhmd Paldo,2024-11-22,5,"Menyala Abang ku, bull market baby",,0
Aron Store,2024-11-21,5,Bagus aplikasi kayak terminal versi mudah di pahami yang bilang jelek caper aja itu,,0
Ridwan Setia,2024-11-21,1,Ini khusus org kaya Bukan org miskin Kalo org miskin makin di habisi uangnya,,1
Muhammad Hasan,2024-11-21,5,Aplikasinya bagus buat pembelajaran crypto dan dapat mudah dipahami,,0
Bima Ydt,2024-11-21,1,akwoakwok,,1
Altaaf Rp,2024-11-21,1,Akedemi yg bikin tomlol,,1
ErzhaFa,2024-11-21,5,"Akademi crypto kita biasa mengenal dunia crypto dg mudah, aplikasinya juga mudah digunakan bisa buat kita trading crypto bagi pemula",,0
Mahasiswa NASAKOM,2024-11-21,1,"Gimana cara login nya? Sampah banget masa harus ikut member dulu, ngotak dong, lubayar orang buat review *5? Ini aja gmana masuknya Buat yg lain jgn instal gak ada gunanya buang data paket kalian aja",,8
Achmad Zuhwa Nizar Zulmi,2024-11-21,5,good apps,,0
M.minecraft ridho delan,2024-11-21,5,akademi crypto adalah aplikasi untuk belajar trading aplikasi ini sangat cocok untuk kalian yg ingin mengetahui seluk beluk trading karena aplikasi ini sangat mengedukasi untuk para pemula trading,,0
Muhamad Habib (Habib),2024-11-21,5,"Appk crypto sangat bagus sekali,bagus untuk belajar,appk nya sangat membantu, Sangat bermanfaat sekali",,0
Hoki Cuk,2024-11-21,5,aplikasi ini sangat luar biasa pengalaman saya ini yang paling bagus,,0
agung syurahman,2024-11-21,5,"Aplikasi akademi crypto sangat kerennn. Aplikasi ini menawarkan bernagai pengalaman dalam belajar yg menyenangkan, serta mudah bagi saya. Awal saya main crypto gak begitu paham bagaimana memulainya. Tapi setelah pakai aplikasi akademi ini bener2 membantu saya. Mulai dari detail apa itu crypto, bagaimana penggunaannya agar tidak masuk dlm invest bodong. Terimakasih aplikasi akademi crypto. Ini bener2 sangat membantu saya.",,0
abdul Rouf,2024-11-21,5,aplikasinya bagus buat pemula dan yang mau belajar crypto,,0
Sinta Klara,2024-11-21,5,"Akademi cypto sangat luar biasa. Sangat bagus bagi pemula seperti saya. Materi yg disajikan sangat terstruktur dg baik,simple dan mudah dipahami. Desainnya sangat menarik, dan menjadi tempat belajar yg menyenangkan serta sangat membantu bagi saya.",,12
Abdillah Itsman A,2024-11-21,5,"benar benar menjelaskan tentang crypto,mudah dipahami",,0
Sindu Winata,2024-11-21,5,"Mantap banget nih aplikasi buat yang pengen belajar kripto,tampilannya mudah digunakan cocok untuk pemula.",,0
T Hidayat,2024-11-21,5,"Akademi crypto merupakan aplikasi terbaik untuk pemula seperti saya ini, semoga terus maju dan berkembang",,0
Arliii Berek,2024-11-21,5,"Aplikasinya sangat Bagus dan sangat Bermanfaat, aplikasi yg sangat membantu Pengalaman belajar yang sangat lengkap dan mudah di pahami terutama Pemula seperti saya untuk belajar Crypto.Selain itu desain dan fitur fiturnya mudah dimengerti.",,1
Muhammad Daffa khalifah,2024-11-21,5,Mantap jayaaa gilaa berkelas banget,,0
Lucky Ximons,2024-11-21,5,Sangat membatu buat yang mau belajar cryptoo apk nya bagusss udh gitu mb nya juga kecil jadi ga bikin berat ke hp suksess terus yah,,0
Zeyzen Rider,2024-11-21,5,"Aplikasinya sangat bagus, mudah banget buat digunakan..fiturnya lengkap banget disiniii",,0
William Khosasi,2024-11-21,2,Tidak ada tempat pendaftarannya!!!!!,,0
Fahri Septiansyah,2024-11-21,5,Akademi crypto mantap sih tampilan gampang dimengerti buat pemula dan banyak promonya juga the best lah,,0
Michael lefrando,2024-11-21,5,Cara masuk nya gimana yah ?,,0
Didik Eko Wiyono,2024-11-21,5,"dari nonton MC dan gabung grup gratis saja aku sudah bisa mendapat profit 8 juta dengan modal 25jt an dalam waktu 6 bulanan, ceritanya dlu salah dalam entry karna kurang memahami informasi, tp dg beli Buku dan materi gratis bisa balik modal bahkan sampai untung 8jt. kalau sdh berubah finansial aku mau langganan subscribe aplikasi ini. doain ya Bro Tim dan Bro KK",,0
nayya _,2024-11-21,5,sangat mengedukasi untuk belajar crypto recommended bgtt!!,,0
siya shrada,2024-11-21,5,"Aplikasi yang luar biasa, membantu saya yang awam jadi paham, mudah dipahami, tidak ribet, akademi crypto mantap",,0
Wahyu 123,2024-11-21,5,"Efektif banget, jadi bisa belajar crypto dengan mudah dari dasar, aku yg tadinya awam sekarang lebih paham soal crypto, mudah dimengerti bagi pemula kyk aku yg skrng udh sedikit pro hehehe",,0
octania ramadhani0510,2024-11-21,5,Apk bagus banyak menghasilkan cuan rekomendasi buat anda,,0
Najwa Aura,2024-11-21,5,"Aplikasi yang benar² sangat bermanfaat bagi para penggunanya,karena disini bisa banget untuk tempat edukasi belajar crypto dengan desain fitur fitur yang sangat baik,dan bisa banget dapet fasilitas yang lengkap.",,1
Rojak Setiawan,2024-11-21,5,Aplikasi crypto terlengkap di playstore cocok buat kamu yang mau berinvestasi disini,,0
sceer vio,2024-11-21,5,"Aplikasinya keren banget buat yang mau belajar crypto dari nol, penjelasannya gampang dipahami, step-by-step, jadi nggak bingung",,0
Rani mulyani,2024-11-21,5,Aplikasinya cocok untuk pemula yang mau invest crypto informasinya lengkap dan mudah dipahami,,0
Riska Imel yani,2024-11-21,5,"cocok banget nih aplikasi crypto buat pemula, fitur nya mudah di pahami . Banyak pilihan investasi, pelayanan admin nya juga cepet.",,0
irwan chikal,2024-11-21,5,aplikasi akademi crypto ini sangat bermanfaat buat saya yang baru belajar tentang crypto,,0
Salsadila Lahagu (Salsadila Lahagu),2024-11-21,5,"akademi crypto sangat cocok buat yang baru belajar soal crypto, aplikasinya sangat bermanfaat",,0
irma yuliana,2024-11-21,5,"Akademi Crypto ini sangat bagus sekali untuk pemula seperti saya, aplikasi ini mengedukasi tentang crypto yang lagi banyak diminati. Penggunaan aplikasinya pun mudah dipahami. Coba download sekarang untuk pemula yang ingin lebih memahami tentang crypto!",,0
Prime World4,2024-11-21,5,harga aplikasi 17 juta 🤣🤣,,0
Abizar Gifari,2024-11-21,5,"Menurut saya, Akademi Crypto ini sangat membantu untuk belajar dasar-dasar crypto dengan cara yang mudah dipahami. Materinya jelas dan aplikasinya juga user-friendly. Recommended banget deh buat pemula.",,0
Siti Rosana,2024-11-21,5,Baru mau belajar crypto nemu tempat edukasi buat belajar crypto jadi ga bingung deh,,0
Nabil Bila,2024-11-21,5,"aplikasi Akademi Crypto mantap banget, tempat edukasi belajar crypto, dari semua fitur dan desain nya sangat menarik dan mudah banget dipake, bisa liat berita global juga, keren pol pokoknya deh.",,0
Rifky Hadi Rahmawan,2024-11-21,5,"Aplikasi edukasi yang bagus, sebagai masyarakat milenial yang harus melek akan teknologi ini berguna sekali",,0
Rifa Dava,2024-11-21,5,"Aplikasinya bagus banget dan sangat mengedukasi buat yg mau belajar tentang cripto di aplikasi ini beneran di ajarkan dari yg gatau apa apa bisa tau lebih dalam tentang dunia cripto, good joob",,0
Anya Rhevalin,2024-11-21,5,"Aplikasi nya bagus banget, saya terbantu oleh aplikasi ini dari awalnya bingung sampe bisa pokoknya bagus sekali",,0
Stok Gs,2024-11-21,5,2 MAJOR SAYA,,0
Rizki Ardiansyah,2024-11-21,1,Aneh banyak rating 5 palsu wkwkw,,4
sam aja disam,2024-11-21,5,Aplikasi nya bagus banget cocok buat kalian yang mau belajar crypto tampilanya pun simpe dan mudah dimengerti rekomended sih,,0
Rio Ferdiansyah,2024-11-21,5,"Apps good , news update dan lebih simple, tolong Itu yg kasih bintang 1-2 buzzer semua 😅, tanggal postingnya barengan , selisih cuma sehari , Kasian ga punya duit buat join , malah nyari duit dari nyepam",,0
MINTARNO,2024-11-21,5,Pembelajaran interaktif dengan materi yang up-to-date,,0
Melinda Sifa,2024-11-21,5,aplikasi ini sangat membantu saya sebagai pemula dalam belajar crypto karena pembelajarannya sangat mudah dipahami,,0
M Rendi,2024-11-21,5,akademi crypto sangat membantu saya,,0
Muhammad Wahyu ikbar,2024-11-21,1,sangat menyesal beli kelas mahal porto malah rungkad,,83
akun vidio,2024-11-21,1,ga guna,,3
Vsanjaya 123,2024-11-21,1,"Banyak member yang kecewa,sekedar peringatan hati hati jangan fomo kalau mau join tanya tanya temen atau cari yang sudah join , kalau saya jelas sangat kecewa banyak cerita saja, seperti bloomberg ? Dan lagi kalau review jelek dll bisa bumkam akun nya jadi harus lebih hati hati",,12
hazimul zaki,2024-11-21,5,"Aplikasinya sangat bagus, dan bermanfaat untuk mempelari tentang crypto, aplikasinya juga mudah di pahami",,0
Dwi Septiadi,2024-11-21,5,Terimakasih AC,,0
Ferli Andika,2024-11-21,1,"Bayar mahal mahal , materi aplikasi berasa aplikasi turorial baca koran , kalau dca BTC mah yg gratis juga banyak",,2
Ikhsan Dwi Nurcahyo,2024-11-21,5,"Aplikasinya bagus banget, mudah dipelajari untuk newbie seperti saya, recommended 💯",,0
Ong Samuel,2024-11-21,5,"Aplikasinya bagus desain nya menarik ngga moonoton, fiturnya lengkap poool bisa jadi tempat belajar bagi pemula",,0
Ericko Setiawan,2024-11-21,5,Bloombergnya crypto,,0
SYADIYAH ISRAITA,2024-11-21,5,Aplikasi Akademi Crypto yang sangat membantu dalam proses belajar mengenai crypto bagi pemula karena di sertai desain yang menarik dan fitur lengkap sehingga menjadikan aplikasi Akademi Crypto sebagai tempat belajar crypto yang paling lengkap.,,0
gaming wahlam,2024-11-21,5,Aplikasinya bagus mudah dimengerti untuk yang pemula crypto,,0
SAD ENDING,2024-11-21,5,Go go power rangers,,0
Hafidh Sadam Ibrahimhaq,2024-11-21,1,McLaren lu warna apa boss,,3
Nanda Setia,2024-11-21,5,Aplikasi nya bagus banget sangat bermanfaat banget bagi para pemula yang pengin mau trading bisa belajar dari Aplikasi Akademi Crypto karna emang the best buat edukasi seputar crypto so recommended banget deh,,0
landi ngantung,2024-11-21,5,Tidak cukup untuk bintang 5 app ini.. harusnya 10 bintang.,,0
Aksalkhan Frizaa,2024-11-21,5,Aplikasi yang sangat bagus sangat informatif dan selalu update layak untuk di pertahankan aplikasi ini semoga kedepan nya lebih maju lagi,,0
Roki Grung,2024-11-21,5,apk no 1 dunia 🔥🔥🔥🔥,,0
Sayyid Muhammad Daffa,2024-11-21,1,Tolol,,4
KPRA Cpe,2024-11-21,1,Manta manta mantap,,4
Rama Akbar,2024-11-21,5,"Mantap sekali, portal informasi yg bener2 selangkah lebih maju",,0
Yan Danan Jaya,2024-11-21,5,"Aplikasi bagus, rekomended banget buat kalian deh, puas banget sama aplikasi nya.",,0
zulyana supardi,2024-11-21,5,Aplikasi dengan fitur lengkap dan mudah dipahami,,0
Fixenzo,2024-11-21,5,"Apk nya sangat berguna untuk kita memahami dan mempelajari apa sih crypto itu?,dan juga banyak sekali fitur2 yg bagus dalam apk nya, semangat dev🤚👊",,0
Samuel Cucumandalin,2024-11-21,5,Keren,,0
Afiq Muhammad Danu,2024-11-21,5,"Aplikasi ini sangat luar biasa, kita bisa belajar crypto disini sebagai pemula dan sangat mudah di pahami",,0
Alfiyani Leoninda,2024-11-21,5,wah baru tau ada aplikasi sebagus ini 🤩 apk nya keren sekali mudah dipahami bagi pemula untuk belajar crypto 🤩🤩,,0
Dixson Hendrik,2024-11-21,5,"saya bukan member, tapi saya bisa cuan dari kripto karna AC, kenal Kripto krna AC,,cuma modal beli buku AC dan modal kuota buka Youtube tpi saya rasa edukasi sari AC telah mengubah hidup saya, thank you ncek dan prof kaka",,0
Jauza,2024-11-21,5,"Rekomended buat pemula yang sedang belajar main trading, biar makin luas pengetahuannya tentang dunia trading",,0
Bintang Abel R,2024-11-20,5,Ini apk cocok banget buat yang mau belajar trading apalgi mudah dipahami trading nya,,0
Nana nahrawi,2024-11-20,5,"Apk akademi crypto itu bnr"" apk yg sngt bgus di segi desain nya saja bgtu menarik dan juga unik,apk ini juga bisa menambah ilmu kita yg ingin belajar treding...",,0
Patra Patra,2024-11-20,5,Apk Ini bagus buat yang mau belajar/pemula yang mau belajar cara trading di cryptoo,,0
Rifky Juana Putra,2024-11-20,2,"masa gada fitur buat akun, suruh login gitu aja sedangkan gua baru bet download apk ini",,3
193 034 Kevin Jeremia,2024-11-20,1,Tidak bisa registrasi,,4
muhammad reza,2024-11-20,1,scam,,4
miftah maulana aji,2024-11-20,5,Good,,0
Muhammad Abizard,2024-11-20,3,Bro Tim ni ga bisa login gua.kenapa?,,0
